id,card,character_id,sin,rarity_id,odds
1,The Avatar of Pride,1,Pride,1,0.25
2,The Avatar of Greed,2,Greed,1,0.25
3,The Avatar of Envy,3,Envy,1,0.25
4,The Avatar of Wrath,4,Wrath,1,0.25
5,The Avatar of Lust,5,Lust,1,0.25
6,The Avatar of Gluttony,6,Gluttony,1,0.25
7,The Avatar of Sloth,7,Sloth,1,0.25
8,The Seven Apples,8,Pride,1,0.25
9,Believer,9,Greed,1,0.25
10,Past Glory,10,Envy,1,0.25
11,Memorable World,11,Wrath,1,0.25
12,Unforgettable Past,12,Lust,1,0.25
13,Trust and Poison,1,Greed,2,0.75
14,Troublemaker,2,Envy,2,0.75
15,Going Outside Sucks!,3,Wrath,2,0.75
16,New Emotions,4,Lust,2,0.75
17,Loveable Me,5,Gluttony,2,0.75
18,Growing Fast,6,Sloth,2,0.75
19,Let Me Sleep!,7,Pride,2,0.75
20,Escape,8,Greed,2,0.75
21,The Sweet Demon,9,Envy,2,0.75
22,The Angel's Future,10,Wrath,2,0.75
23,Coffee Someday,11,Lust,2,0.75
24,The Sorcerer's Lesson,12,Pride,2,0.75
25,The Mighty First-Born,1,Pride,3,0.35
26,The Mighty First-Born,1,Greed,3,0.35
27,The Mighty First-Born,1,Envy,3,0.35
28,The Mighty First-Born,1,Wrath,3,0.35
29,The Mighty First-Born,1,Lust,3,0.35
30,The Mighty First-Born,1,Gluttony,3,0.35
31,The Mighty First-Born,1,Sloth,3,0.35
32,The Scummy Second-Born,2,Pride,3,0.35
33,The Scummy Second-Born,2,Greed,3,0.35
34,The Scummy Second-Born,2,Envy,3,0.35
35,The Scummy Second-Born,2,Wrath,3,0.35
36,The Scummy Second-Born,2,Lust,3,0.35
37,The Scummy Second-Born,2,Gluttony,3,0.35
38,The Scummy Second-Born,2,Sloth,3,0.35
39,The Otaku Third-Born,3,Pride,3,0.35
40,The Otaku Third-Born,3,Greed,3,0.35
41,The Otaku Third-Born,3,Envy,3,0.35
42,The Otaku Third-Born,3,Wrath,3,0.35
43,The Otaku Third-Born,3,Lust,3,0.35
44,The Otaku Third-Born,3,Gluttony,3,0.35
45,The Otaku Third-Born,3,Sloth,3,0.35
46,The Cynical Fourth-Born,4,Pride,3,0.35
47,The Cynical Fourth-Born,4,Greed,3,0.35
